Inference for Bugs model at "ORL.txt", fit using jags,
 3 chains, each with 5000 iterations (first 1000 discarded)
 n.sims = 12000 iterations saved. Running time = secs
         mu.vect sd.vect    2.5%     25%     50%     75%   97.5%  Rhat n.eff
p[73,3]    0.115   0.037   0.058   0.088   0.110   0.136   0.200 1.002  2300
p[74,3]    0.226   0.041   0.155   0.197   0.223   0.253   0.315 1.002  2200
p[75,3]    0.262   0.049   0.186   0.226   0.255   0.292   0.377 1.002  1600
p[76,3]    0.287   0.049   0.211   0.252   0.280   0.316   0.400 1.002  2500
p[77,3]    0.110   0.038   0.053   0.083   0.105   0.132   0.198 1.002  1500
p[78,3]    0.218   0.046   0.131   0.186   0.215   0.248   0.313 1.002  1300
p[79,3]    0.115   0.036   0.059   0.089   0.111   0.136   0.199 1.002  2500
p[80,3]    0.220   0.047   0.135   0.187   0.217   0.250   0.317 1.002  2300
p[81,3]    0.262   0.042   0.192   0.233   0.258   0.286   0.362 1.002  2300
p[82,3]    0.335   0.054   0.234   0.297   0.333   0.371   0.447 1.001 11000
p[83,3]    0.343   0.053   0.244   0.307   0.342   0.379   0.450 1.001 12000
p[84,3]    0.374   0.074   0.243   0.321   0.369   0.423   0.534 1.001 12000
p[85,3]    0.140   0.044   0.066   0.108   0.135   0.167   0.237 1.002  2300
p[86,3]    0.233   0.049   0.142   0.199   0.232   0.266   0.333 1.003  1100
p[87,3]    0.131   0.042   0.067   0.101   0.126   0.156   0.227 1.002  2800
p[88,3]    0.229   0.050   0.146   0.193   0.225   0.262   0.337 1.002  1700
p[89,3]    0.117   0.043   0.052   0.084   0.111   0.142   0.217 1.002  1500
p[90,3]    0.108   0.046   0.042   0.073   0.100   0.134   0.217 1.002  1500
p[91,3]    0.217   0.074   0.098   0.161   0.209   0.264   0.378 1.003  1200
p[92,3]    0.273   0.073   0.154   0.219   0.268   0.320   0.431 1.002  1300
p[93,3]    0.294   0.073   0.174   0.239   0.289   0.343   0.447 1.002  1500
p[94,3]    0.116   0.045   0.051   0.082   0.108   0.141   0.222 1.002  1400
p[95,3]    0.220   0.070   0.112   0.167   0.211   0.263   0.379 1.003  1200
p[96,3]    0.111   0.047   0.046   0.076   0.102   0.137   0.222 1.002  1400
p[97,3]    0.201   0.062   0.109   0.153   0.191   0.239   0.343 1.003  1100
p[98,3]    0.232   0.064   0.141   0.181   0.221   0.271   0.379 1.003  1100
p[99,3]    0.115   0.043   0.055   0.084   0.107   0.138   0.220 1.002  2300
p[100,3]   0.226   0.068   0.129   0.175   0.214   0.266   0.389 1.002  1600
p[1,4]     0.250   0.000   0.250   0.250   0.250   0.250   0.250 1.000     1
p[2,4]     0.244   0.014   0.212   0.238   0.245   0.250   0.270 1.002  4500
p[3,4]     0.276   0.013   0.247   0.268   0.277   0.284   0.297 1.002  1400
p[4,4]     0.146   0.034   0.088   0.122   0.143   0.167   0.218 1.002  2300
p[5,4]     0.256   0.024   0.210   0.240   0.256   0.272   0.303 1.001  9300
p[6,4]     0.310   0.025   0.260   0.293   0.310   0.327   0.359 1.001 12000
p[7,4]     0.342   0.035   0.284   0.318   0.339   0.364   0.418 1.001 10000
p[8,4]     0.149   0.034   0.089   0.125   0.146   0.170   0.222 1.002  2900
p[9,4]     0.272   0.026   0.221   0.255   0.272   0.289   0.322 1.001 12000
p[10,4]    0.313   0.027   0.259   0.296   0.313   0.330   0.365 1.002 11000
p[11,4]    0.120   0.032   0.066   0.098   0.117   0.140   0.191 1.001  9700
p[12,4]    0.230   0.024   0.175   0.215   0.233   0.247   0.269 1.002  2900
p[13,4]    0.256   0.025   0.198   0.242   0.260   0.273   0.296 1.002  2900
p[14,4]    0.118   0.028   0.069   0.097   0.115   0.136   0.179 1.001  6800
p[15,4]    0.115   0.030   0.065   0.093   0.112   0.134   0.180 1.001  4500
