"gain" "loss" "deck" "trial" "subjID"
100 0 2 38 145
100 0 2 39 145
100 0 2 40 145
100 0 2 41 145
100 0 2 42 145
100 0 2 43 145
100 0 2 44 145
100 -1250 2 45 145
100 0 2 46 145
100 0 2 47 145
100 0 2 48 145
100 0 2 49 145
100 0 2 50 145
100 -1250 2 51 145
100 0 2 52 145
100 0 2 53 145
100 0 2 54 145
100 0 2 55 145
50 0 4 56 145
100 0 2 57 145
50 0 3 58 145
100 0 1 59 145
100 0 1 60 145
100 0 1 61 145
100 -250 1 62 145
50 -50 3 63 145
50 0 4 64 145
50 0 4 65 145
100 0 2 66 145
100 0 1 67 145
100 0 1 68 145
50 -50 3 69 145
100 -250 1 70 145
100 0 1 71 145
100 0 1 72 145
100 0 1 73 145
100 -250 1 74 145
100 0 2 75 145
100 -1250 2 76 145
100 0 1 77 145
100 -250 1 78 145
100 0 2 79 145
100 0 2 80 145
100 -250 1 81 145
100 -250 1 82 145
50 0 3 83 145
100 0 1 84 145
100 -250 1 85 145
100 0 2 86 145
100 0 2 87 145
100 0 1 88 145
100 -250 1 89 145
50 0 3 90 145
50 0 4 91 145
100 -250 1 92 145
100 0 2 93 145
100 0 2 94 145
50 0 4 95 145
50 0 3 96 145
100 0 1 97 145
100 0 1 98 145
100 0 1 99 145
100 -250 1 100 145
100 -250 1 1 146
100 0 2 2 146
50 0 4 3 146
50 0 3 4 146
100 -250 1 5 146
50 -50 3 6 146
100 0 2 7 146
100 0 2 8 146
100 0 2 9 146
100 0 2 10 146
100 0 2 11 146
50 0 4 12 146
100 -1250 2 13 146
50 -250 4 14 146
100 0 1 15 146
50 0 4 16 146
100 0 1 17 146
50 0 3 18 146
100 0 1 19 146
50 0 4 20 146
100 -250 1 21 146
50 -50 3 22 146
50 0 4 23 146
50 0 4 24 146
100 -250 1 25 146
50 -50 3 26 146
50 0 4 27 146
50 0 4 28 146
50 0 4 29 146
100 0 2 30 146
100 0 2 31 146
100 0 2 32 146
100 0 2 33 146
100 0 2 34 146
50 -250 4 35 146
100 0 2 36 146
100 0 2 37 146
100 -1250 2 38 146
50 0 3 39 146
100 0 1 40 146
100 0 1 41 146
100 0 2 42 146
50 0 3 43 146
50 0 4 44 146
100 -250 1 45 146
100 0 2 46 146
100 0 1 47 146
100 0 1 48 146
100 0 1 49 146
100 -250 1 50 146
100 0 1 51 146
100 -250 1 52 146
100 -250 1 53 146
100 0 2 54 146
100 0 2 55 146
100 0 2 56 146
100 -250 1 57 146
100 0 2 58 146
100 0 2 59 146
100 0 2 60 146
100 -1250 2 61 146
100 0 1 62 146
100 -250 1 63 146
100 0 1 64 146
100 -250 1 65 146
100 -250 1 66 146
50 0 3 67 146
50 -50 3 68 146
50 0 4 69 146
50 0 4 70 146
50 0 4 71 146
50 0 4 72 146
50 0 3 73 146
50 0 4 74 146
50 -50 3 75 146
100 0 1 76 146
100 0 1 77 146
100 0 1 78 146
100 -250 1 79 146
50 -50 3 80 146
50 0 4 81 146
50 0 4 82 146
50 0 4 83 146
50 0 4 84 146
50 0 4 85 146
50 -250 4 86 146
50 0 3 87 146
50 0 3 88 146
100 -250 1 89 146
100 0 2 90 146
